abbreviation;abbreviation;;0
accounting;accounting;;0
ACG;ACG;;0
ACG or fandom slang;ACG fandom slang;;0
ACG slang;ACG slang;;0
advertising;advertising;;0
aeronautics;aeronautics;;0
aesthetic;aesthetic;;0
agent affix;agent-affix;;0
agriculture;agriculture;;0
algebra;algebra;;0
algebraic geometry;algebraic-geometry;;0
algebraic topology;algebraic-topology;;0
also attributive;also-attributive;;0
alternative medicine;alternative-medicine;;0
analytical chemistry;analytical-chemistry;;0
anatomy;anatomy;;0
ancient;ancient;x;0
ancient Chu dialect;ancient-Chu-dialect;x;0
ancient Qi dialect;ancient-Qi-dialect;x;0
ancient Sichuanese;ancient-Sichuanese;x;0
ancient southwestern China;ancient-southwestern-China;Cx;0
anesthesiology;anesthesiology;;0
anime;anime;;0
anthropology;anthropology;;0
appearance;appearance;;0
archaeology;archaeology;;0
archaic;archaic;x;0
archaic and uncommon;archaic uncommon;x;0
archaic or dialectal;archaic dialectal;x;0
archaic or Eastern Min;archaic Eastern-Min;x;0
archaic or Hakka;archaic Hakka;x;0
archaic or Hokkien;archaic Hokkien;x;0
archaic or Wu;archaic Wu;x;0
archaic or Xiang;archaic Xiang;x;0
archery;archery;;0
architecture;architecture;;0
arithmetic;arithmetic;;0
art;art;;0
artificial intelligence;artificial-intelligence;;0
astrology;astrology;;0
astronomy;astronomy;;0
astrophysics;astrophysics;;0
athletics;athletics;;0
atmosphere;atmosphere;;0
attributive;attributive;;0
attributive or poetic;attributive poetic;;0
attributively;attributively;;0
Australia;Australia;x;0
automotive;automotive;;0
auxiliary;auxiliary;;0
aviation;aviation;;0
aviation law;aviation-law;;0
bacteriology;bacteriology;;0
banking;banking;;0
baseball;baseball;;0
basketball;basketball;;0
BDSM;BDSM;;0
Beijing;Beijing;Cx;0
Beijing and Jilu Mandarin;Beijing-and-Jilu-Mandarin;Cx;0
Beijing and Tianjin Mandarin;Beijing-and-Tianjin-Mandarin;Cx;0
Beijing Mandarin;Beijing;Cx;1
biblical;biblical;;0
bibliography;bibliography;;0
billiards;billiards;;0
biochemistry;biochemistry;;0
biology;biology;;0
birds;birds;;0
board games;board-games;;0
bone;bone;;0
botany;botany;;0
broadcasting;broadcasting;;0
bronze inscriptions;bronze-inscriptions;;0
Brunei;Brunei;x;0
Buddhism;Buddhism;;0
Buddhism or figuratively;Buddhism figuratively;x;0
Buddhist;Buddhist;;0
business;business;;0
by extension;by-extension;;0
by synecdoche;by-synecdoche;;0
calculus;calculus;;0
calendar;calendar;;0
calligraphy;calligraphy;;0
Canada;Canada;x;0
Cantonese opera;Cantonese-opera;Cx;0
card games;card-games;;0
cardiology;cardiology;;0
cartography;cartography;;0
Cascading Style Sheets;Cascading-Style-Sheets;;0
category theory;category-theory;;0
Catholicism;Catholicism; ;0
cell biology;cell-biology;;0
Central Min;Central-Min;x;0
Central Plains;Central-Plains;Cx;0
Central Plains and Lanyin Mandarin;Central-Plains-and-Lanyin-Mandarin;Cx;0
Central Plains Mandarin;Central-Plains-Mandarin;Cx;0
Changsha Xiang;Changsha-Xiang;x;0
chemistry;chemistry;;0
chess;chess;;0
chess or figurative;chess figurative;;0
chiefly ACG;chiefly-ACG;;0
chiefly archaic;chiefly-archaic;x;0
chiefly attributive;chiefly-attributive;;0
chiefly Baptist;chiefly-Baptist;;0
chiefly Beijing Mandarin;chiefly-Beijing-Mandarin;Cx;0
chiefly Buddhism;chiefly-Buddhism;;0
chiefly Canada;chiefly-Canada;x;0
chiefly Catholicism;chiefly-Catholicism;;0
chiefly Christianity;chiefly-Christianity;;0
chiefly common law;chiefly-common-law;;0
chiefly dated;chiefly-dated;x;0
chiefly derogatory;chiefly-derogatory;;0
chiefly dialectal;chiefly-dialectal;-;0
chiefly dialectal Hakka;chiefly-dialectal-Hakka;x;0
chiefly dialectal Mandarin;chiefly-dialectal;-;0
chiefly during the Cultural Revolution;chiefly-during-the-Cultural-Revolution;x;0
chiefly Eastern Min;chiefly-Eastern-Min;x;0
chiefly fiction;chiefly-fiction;;0
chiefly figurative;chiefly-figurative;;0
chiefly figuratively;chiefly-figuratively;;0
chiefly gaming;chiefly-gaming;;0
chiefly Guangdong;chiefly-Guangdong;Cx;0
chiefly Hakka;chiefly-Hakka;x;0
chiefly historical;chiefly-historical;x;0
chiefly Hokkien;chiefly-Hokkien;x;0
chiefly Hong Kong;chiefly-HongKong;Cx;0
chiefly Hong Kong and Taiwan;chiefly-HongKong;t;0
chiefly in Australia;chiefly-in-Australia;x;0
chiefly in book titles;chiefly-in-book-titles;-;0
chiefly in compounds;;&;0
chiefly in Korean media;chiefly-Korean-media;x;0
chiefly in the negative;chiefly-in-the-negative;;0
chiefly Internet;chiefly-Internet;;0
chiefly Internet slang;chiefly-Internet-slang;;0
chiefly Jianghuai Mandarin;chiefly-Jianghuai-Mandarin;Cx;0
chiefly law;chiefly-law;;0
chiefly literally;chiefly-literally;;0
chiefly literary;chiefly-literary;;0
chiefly literary or poetic;chiefly-literary-or-poetic;;0
chiefly Macau;chiefly-Macau;Cx;0
chiefly Mainland China;;c;1
chiefly Mainland China and Hong Kong;HongKong;c;0
chiefly Mainland China and Taiwan;;;1
chiefly Mainland China Mandarin;;c;1
chiefly Malaysia;chiefly-Malaysia;x;0
Chiefly Mandarin;;;1
chiefly Mandarin;;;1
chiefly mathematics;chiefly-mathematics;;0
chiefly medicine;chiefly-medicine;;0
chiefly military;chiefly-military;;0
chiefly Min;chiefly-Min;x;0
chiefly Nanzhao;chiefly-Nanzhao;Cx;0
chiefly Northeastern Mandarin;chiefly-Northeastern-Mandarin;Cx;0
chiefly northern China;chiefly-northern-China;Cx;0
chiefly Northern China;chiefly-Northern-China;Cx;0
chiefly Northern Wu;chiefly-Northern-Wu;x;0
chiefly obsolete;chiefly-obsolete;x;0
chiefly of literature or art;chiefly-of-literature-or-art;;0
chiefly outside Malaysia and Singapore;chiefly-outside-Malaysia-and-Singapore;x;0
chiefly overseas;chiefly-overseas;x;0
chiefly Overseas Chinese;chiefly-Overseas-Chinese;x;0
chiefly Philippines;chiefly-Philippines;x;0
chiefly poetic;chiefly-poetic;;0
chiefly politics;chiefly-politics;;0
chiefly Protestantism;chiefly-Protestantism;;0
chiefly rail transport;chiefly-rail-transport;;0
chiefly regional;chiefly-regional;x;0
chiefly religion;chiefly-religion;;0
chiefly science fiction;chiefly-science-fiction;;0
chiefly Shanghainese;chiefly-Shanghainese;x;0
chiefly Shanghainese and Suzhounese;chiefly-Shanghainese-and-Suzhounese;x;0
chiefly Sichuanese;chiefly-Sichuanese;x;0
chiefly Singapore;chiefly-Singapore;x;0
chiefly Singapore and Malaysia;chiefly-Singapore-and-Malaysia;x;0
chiefly Southern Min;chiefly-Southern-Min;x;0
chiefly Southern Min and Hakka;chiefly-Southern-Min-and-Hakka;x;0
chiefly Southwestern Mandarin;chiefly-Southwestern-Mandarin;Cx;0
chiefly Suburban Shanghainese Wu;chiefly-Suburban-Shanghainese-Wu;x;0
chiefly Taishanese;chiefly-Taishanese;x;0
chiefly Taiwan;;t;1
chiefly Taiwan and Hong Kong;HongKong;t;0
chiefly Taiwan Hakka;chiefly-Taiwan-Hakka;x;0
chiefly Taiwanese Hokkien;chiefly-Taiwanese-Hokkien;x;0
chiefly Taiwanese Mandarin;;t;0
chiefly Teochew;chiefly-Teochew;x;0
chiefly traditional Chinese medicine;TCM;;0
chiefly used in rhetorical questions;chiefly-used-in-rhetorical-questions;;0
chiefly Vietnam;chiefly-Vietnam;x;0
chiefly Wu;chiefly-Wu;x;0
chiefly Xinjiang Mandarin;chiefly-Xinjiang-Mandarin;xC;0
chiefly Zhejiang Wu;chiefly-Zhejiang-Wu;x;0
childish;childish;;0
childish or cute-sounding;childish cute-sounding;;0
China;;C;1
Chinese astronomy;Chinese-astronomy;;0
Chinese calligraphy;Chinese-calligraphy;;0
Chinese character classification;Chinese-character-classification;;0
Chinese cuisine;Chinese-cuisine;;0
Chinese folk religion;Chinese-folk-religion;;0
Chinese history;Chinese-history;;0
Chinese linguistics;Chinese-linguistics;;0
Chinese mythology;Chinese-mythology;;0
Chinese opera;Chinese-opera;;0
Chinese philosophy;Chinese-philosophy;;0
Chinese phonetics;Chinese-phonetics;;0
Chinese religion;Chinese-religion;;0
Chinese typography;Chinese-typography;;0
Chinese-style;Chinese-style;;0
Christianity;Christianity;;0
Chuqu Wu;Chuqu-Wu;x;0
Church of the East;Church-of-the-East;;0
cinematography;cinematography;;0
civil law jurisdictions;civil-law-jurisdictions;;0
CJK typography;CJK-typography;;0
Classical;Classical;-;0
Classical Chinese;Classical;-;0
classical Chinese dance;classical-Chinese-dance;;0
classical mechanics;classical-mechanics;;0
Classical or dialectal;Classical dialectal;-;0
climatology;climatology;;0
climbing;climbing;;0
clothing;clothing;;0
coastal Min;coastal-Min;x;0
collective;collective;;0
collectively;collectively;;0
colloquial;colloquial;;0
colloquial Mandarin;colloquial;;1
colloquial or dialectal;colloquial dialectal;x;0
combinatorics;combinatorics;;0
commerce;commerce;;0
communication;communication;;0
communism;communism;;0
complex analysis;complex-analysis;;0
computer graphics;computer-graphics;;0
computer hardware;computer-hardware;;0
computer languages;computer-languages;;0
computer science;computer-science;;0
computer security;computer-security;;0
computing;computing;;0
computing slang;computing-slang;;0
computing theory;computing-theory;;0
Confucianism;Confucianism;;0
construction;construction;;0
contraception;contraception;;0
control theory;control-theory;;0
cooking;cooking;;0
copulative;copulative;;0
copyright law;copyright-law;;0
corrupted form;corrupted-form;;0
cosmetics;cosmetics;;0
cosmology;cosmology;;0
countable;countable;;0
crime;crime;;0
criminal law;criminal-law;;0
criminology;criminology;;0
crochet;crochet;;0
crossdressing slang;crossdressing-slang;;0
cryptocurrencies;cryptocurrencies;;0
cryptography;cryptography;;0
cryptozoology;cryptozoology;;0
crystallography;crystallography;;0
culture;culture;;0
cute-sounding;cute-sounding;;0
cycling;cycling;;0
cytology;cytology;;0
Dabu Hakka;Dabu-Hakka;x;0
Dafang;Dafang;x;0
Dalian Mandarin;Dalian-Mandarin;Cx;0
dance;dance;;0
Danyang Wu;Danyang-Wu;x;0
databases;databases;;0
dated;dated;x;0
dated in Cantonese;dated-in-Cantonese;x;0
dated in Hong Kong;dated HongKong;x;0
dated in Mainland China;dated;x;0
dated in Mainland China and Hong Kong;dated-in-Mainland-China-and-HongKong;x;0
dated in Mandarin;dated;x;0
dated in Shanghainese;dated-in-Shanghainese;x;0
dated in Wu;dated-in-Wu;x;0
dated in Xiamen and Quanzhou Hokkien;dated-in-Xiamen-and-Quanzhou-Hokkien;x;0
dated Internet slang;dated-Internet-slang;;0
dated or dialectal;dated dialectal;x;0
dated or dialectal in Mainland China;dated dialectal;Cx;0
dated or Dungan;dated Dungan;x;0
dated or formal;dated formal;x;0
dated or Hakka;dated Hakka;x;0
dated or Hokkien;dated Hokkien;x;0
dated or Hong Kong;dated HongKong;x;0
dated or informal;dated informal;;0
dated or Northern Min;dated Northern-Min;x;0
dated or overseas;dated overseas;x;0
dated or regional;dated regional;x;0
dated or Southern Min;dated Southern-Min;x;0
dated or Taishanese;dated Taishanese;x;0
dated or Taiwanese Hokkien;dated Taiwanese-Hokkien;x;0
dated Shanghainese;dated Shanghainese;x;0
Datian Min;Datian-Min;x;0
dentistry;dentistry;;0
dermatology;dermatology;;0
derogatory;derogatory;;0
derogatory or endearing;derogatory endearing;;0
derogatory or familiar;derogatory familiar;;0
derogatory or humble;derogatory-or-humble;;0
derogatory or humorous;derogatory humorous;;0
derogatory or self-deprecatory;derogatory self-deprecatory;;0
Dexing Huizhou;Dexing-Huizhou;x;0
dialect;dialect;;0
dialectal;dialectal;x;0
dialectal Eastern Min;dialectal-Eastern-Min;x;0
dialectal Gan;dialectal-Gan;x;0
dialectal Hakka;dialectal-Hakka;x;0
dialectal Jin;dialectal-Jin;x;0
dialectal Mandarin;dialectal;x;0
